NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 201 GTMIN    75.00  5 2021  5 2021
 201 GTMIN    75.00  6 2021  6 2021
 201 GTMIN    75.00  7 2021  7 2021
 201 GTMIN    75.00  8 2021 12 2021
 201 GTMIN    75.00  1 2022  1 2022
 201 GTMIN    75.00  2 2022  2 2022
 201 GTMIN    75.00  3 2022  3 2022
 201 GTMIN    75.00  4 2022  4 2022
 201 GTMIN    75.00  5 2022  5 2022
 201 GTMIN    75.00  6 2022 12 2023
 203 POTEF    85.38  6 2019 12 2023
 203 GTMIN    67.00  6 2019 12 2023
 318 POTEF    40.00  6 2019  6 2019
 319 POTEF    40.00  6 2019  6 2019
  73 POTEF   165.87  6 2019 12 2023
  70 POTEF   165.87  6 2019 12 2023
 317 POTEF    25.00  6 2019  6 2019
 204 POTEF    75.48  6 2019 12 2023
 204 FCMAX    86.95  6 2019 12 2023
 204 GTMIN    62.99  6 2019 12 2023
 205 POTEF    66.80  6 2019 12 2023
 205 FCMAX    99.43  6 2019 12 2023
 205 GTMIN    64.50  6 2019 12 2023
 205 IPTER     0.39  6 2019 12 2023
 212 POTEF   518.80  6 2019 12 2023
 212 GTMIN   482.05  6 2019 11 2019
 212 GTMIN   483.37  6 2020 11 2020
 212 GTMIN   482.05  6 2021 11 2021
 212 GTMIN   482.05  6 2022 11 2022
 212 GTMIN   482.05  6 2023 11 2023
  36 POTEF   337.60  6 2019 12 2023
  21 POTEF   337.60  6 2019 12 2023
 140 POTEF   590.75  6 2019 12 2023
 140 FCMAX    98.69  6 2019 12 2023
 140 GTMIN   264.00  6 2019  7 2019
 140 GTMIN   264.00  8 2019  8 2019
 140 GTMIN   264.00  9 2019  9 2019
 140 GTMIN   264.00 10 2019 10 2019
 140 GTMIN   264.00 11 2019 11 2019
 140 GTMIN   264.00 12 2019 12 2019
 140 GTMIN   264.00  1 2020  1 2020
 140 GTMIN   264.00  2 2020  2 2020
 140 GTMIN   264.00  3 2020  3 2020
 140 GTMIN   264.00  4 2020  4 2020
 140 GTMIN   264.00  5 2020  5 2020
 140 GTMIN   264.00  6 2020  6 2020
 140 GTMIN   264.00  7 2020  7 2020
 140 GTMIN   264.00  8 2020  8 2020
 140 GTMIN   264.00  9 2020  9 2020
 140 GTMIN   264.00 10 2020 10 2020
 140 GTMIN   264.00 11 2020 11 2020
 140 GTMIN   264.00 12 2020 12 2020
 140 GTMIN   264.00  1 2021  1 2021
 140 GTMIN   264.00  2 2021  2 2021
 140 GTMIN   264.00  3 2021  3 2021
 140 GTMIN   264.00  4 2021  4 2021
 140 GTMIN   264.00  5 2021  5 2021
 140 GTMIN   264.00  6 2021  6 2021
 140 GTMIN   264.00  7 2021  7 2021
 140 GTMIN   264.00  8 2021  8 2021
 140 GTMIN   264.00  9 2021  9 2021
 140 GTMIN   264.00 10 2021 10 2021
 140 GTMIN   264.00 11 2021 11 2021
 140 GTMIN   264.00 12 2021 12 2021
 140 GTMIN   264.00  1 2022  1 2022
 140 GTMIN   264.00  2 2022  2 2022
 140 GTMIN   264.00  3 2022  3 2022
 140 GTMIN   264.00  4 2022  4 2022
 140 GTMIN   264.00  5 2022  5 2022
 140 GTMIN   264.00  6 2022  6 2022
